"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","alias","justClassClean","subclassClean","StrMod","DexMod","ConMod","IntMod","WisMod","ChaMod","Acrobatics","AnimalHandling","Arcana","Athletics","Deception","History","Insight","Intimidation","Investigation","Medicine","Nature","Perception","Performance","Persuasion","Religion","SleightOfHand","Stealth","Survival","StrSkills","DexSkills","IntSkills","WisSkills","ChaSkills","ConSkills","TotProfSkills"
"dc77c26","74dff98","58909679357ecf9173200071205ea284","2aa33d9d","Human","Guild Artisan",2022-07-01 18:43:24,"Warlock 10","Warlock","The Celestial",10,"",83,15,11,14,14,14,16,19,"","Investigation|Nature|Insight|Persuasion","Heavy Sickle (pact weapon)|Crossbow, light|Dagger","Light*0|Sacred Flame*0|Cure Wounds*0|Guiding Bolt*0|Prestidigitation *0|Mage Hand*0|Arms Of Hadar*1|Witch Bolt*1|Protection From Evil And Good *1|Misty Step*2|Spider Climb*2|Counterspell*3|Hypnotic Pattern*3|Hunger Of Hadar*3|Dimension Door*4|Banishment *4|Hold Monster*5","Cha","pact boon/Pact of the Blade*Pact of the Blade*Pact of the Blade|eldritch invocations/Beast Speech*Repelling Blast*Cloak of Flies*Sculptor of Flesh*One with Shadows",NA,NA,"",NA,NA,"Human","Light*0|Sacred Flame*0|*|*|Prestidigitation*0|Mage Hand*0|Arms of Hadar*1|Witch Bolt*1|Protection from Evil and Good*1|Misty Step*2|Spider Climb*2|Counterspell*3|Hypnotic Pattern*3|Hunger of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5","Sickle|Crossbow, Light|Dagger","wizardly_poincare","Warlock","The Celestial",0,2,2,2,3,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,4
"ec01f34","30cdc6c","ccb16c5ccddc4768c6312055b9ce23c9","ecac1506","Warforged","Noble",2022-06-05 14:18:02,"Paladin 10","Paladin","OathBreaker",10,"Fighting Initiate",110,23,16,14,18,9,8,16,"chaotic evil","Athletics|History|Insight|Intimidation|Persuasion","Morningstar|Javelin","Hellish Rebuke*1|Inflict Wounds*1|Command*1|Shield Of Faith*1|Wrathful Smite*1|Thunderous Smite*1|Crown of Madness*2|Darkness*2|Branding Smite*2|Animate Dead*3|Bestow Curse*3|Aura Of Vitality*3|Elemental Weapon*3|Blinding Smite*3","Cha","fighting style/Defense*Dueling","United Kingdom","GB","CE",NA,NA,"Warforged","Hellish Rebuke*1|Inflict Wounds*1|Command*1|Shield of Faith*1|Wrathful Smite*1|Thunderous Smite*1|Crown of Madness*2|Darkness*2|Branding Smite*2|Animate Dead*3|Bestow Curse*3|Aura Of Vitality*3|Elemental Weapon*3|Blinding Smite*3","Morningstar|Javelin","quirky_ellis","Paladin","OathBreaker",3,2,4,-1,-1,3,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,5
"dc77c26","47c1757","a6bee49c7ef860ab7d7ba39eb28cd03d","77479897","Tabaxi","Mercenary Veteran",2022-06-02 09:51:34,"Fighter 10","Fighter","Eldritch Knight",10,"Great Weapon Master",112,18,17,10,17,10,13,11,"","Athletics|Stealth|Insight|Perception|Survival|Persuasion","Glaive|War pick|Handaxe","","Int","fighting style/Great Weapon Fighting",NA,NA,"",NA,NA,"Tabaxi","","Glaive|War pick|Handaxe","angry_engelbart","Fighter","Eldritch Knight",3,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,3,1,0,6
"95fc60f","c6b21f6","883f030b1d77a6d0f5c15e44bdfbcc8b","5c0491e2","Firbolg","Far Traveler",2022-05-27 23:13:11,"Warlock 10","Warlock","The Undead",10,"Spell Sniper|Ritual Caster",97,12,16,12,14,12,18,16,"","Arcana|Insight|Perception|Deception|Intimidation|Persuasion","Crossbow, light|Dagger","","Cha","pact boon/Pact of the Blade*Pact of the Blade*Pact of the Blade|eldritch invocations/Grasp of Hadar*Repelling Blast*Eldritch Spear*Armor of Shadows*Beguiling Influence","United States","US","",NA,NA,"Firbolg","","Crossbow, Light|Dagger","adoring_feistel","Warlock","The Undead",3,1,2,1,4,3,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3,0,6
"4d39802","d34c0dc","bca50c56758fe0ac3fb268f2a6b52390","acb38a47","Geth - Yan","Soldier",2022-05-25 10:41:24,"Wizard 10","Wizard","War Magic",10,"Telepathic",72,16,8,14,16,20,10,8,"","Athletics|Arcana|Investigation|Perception|Intimidation","Dagger","","Int","","United States","US","",NA,NA,"Gith","","Dagger","loving_shtern","Wizard","War Magic",-1,2,3,5,0,-1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,5
"441f028","8b034b3","bcb36e859fdb689dea6defc391d40210","ae432fdc","Half-Elf","Acolyte",2022-05-14 17:51:55,"Warlock 10","Warlock","The Celestial",10,"Elemental Adept|Eldritch Adept",73,15,11,16,14,12,14,18,"","Arcana|History|Religion|Insight|Perception|Persuasion","Crossbow, light|Dagger|Mace","Light*0|Sacred Flame*0|Cure Wounds*1|Guiding Bolt*1|Flaming Sphere*2|Lesser Restoration *2|Daylight*3|Revivify*3|Guardian Of Faith*4|Wall Of Fire*4|Flame Strike*5|Greater Restoration*5","Cha","pact boon/Pact of the Tome|eldritch invocations/Devil's Sight*Book of Ancient Secrets*Far Scribe*Eyes of the Rune Keeper*Gift of the Protectors*Whispers of the Grave",NA,NA,"",NA,NA,"Half-Elf","Light*0|Sacred Flame*0|Cure Wounds*1|Guiding Bolt*1|Flaming Sphere*2|Lesser Restoration*2|Daylight*3|Revivify*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Greater Restoration*5","Crossbow, Light|Dagger|Mace","hardcore_jennings","Warlock","The Celestial",0,3,2,1,2,4,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,3,2,1,0,6
"e29ef33","03cec25","584e710689a4fcf7e9320e6fd052f40f","4adb7ac4","Birdfolk","Fisher",2022-05-14 14:36:12,"Barbarian 10","Barbarian","Path of the Berserker",10,"",95,14,18,15,14,10,12,12,"","Athletics|History|Animal Handling|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin","","Int","",NA,NA,"",NA,NA,"Aarakocra","","Greataxe|Handaxe|Javelin","competent_montalcini","Barbarian","Path of the Berserker",4,2,2,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,0,6
"e29ef33","03cec25","9ec4f519126616599a77148abdb87212","6d4aa3dc","Human","Noble",2022-05-14 14:25:37,"Fighter 10","Fighter","Champion",10,"Heavy Armor Master",84,17,20,10,15,11,13,14,"Lawful Neutral","Athletics|History|Perception|Persuasion","Greataxe|Javelin|Longsword","","Int","fighting style/Defense*Great Weapon Fighting",NA,NA,"LN",NA,NA,"Human","","Greataxe|Javelin|Longsword","cocky_galois","Fighter","Champion",5,0,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,4
"ac87645","dd77173","3e1e2e03a4cc3ea2b4e0ebbd97d19b98","6e5215a9","Ghastly Halfling","Outlander",2022-05-08 13:32:24,"Ranger 10","Ranger","Swarmkeeper",10,"",122,16,14,20,16,14,18,14,"","Athletics|Stealth|Animal Handling|Perception|Survival","Shortsword|Longbow","Faerie Fire*1|Web*2|Gaseous Form*3","Wis","optional hide in plain sight/Primal Awareness|fighting style/Druidic Warrior|optional favored enemy/Favored Foe|expertise/Perception|optional natural explorer/Canny|optional primeval awareness/Primeval Awareness","United States","US","",NA,NA,"Halfling","Faerie Fire*1|Web*2|Gaseous Form*3","Shortsword|Longbow","priceless_morse","Ranger","Swarmkeeper",2,5,3,2,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3,0,0,5
"cd2d6f7","d526779","9705fd035658b13f61d98382088b13ca","3a6e09db","Firbolg","Outlander",2022-04-23 11:26:03,"Druid 10","Druid","Circle of Wildfire",10,"Tough",73,14,14,12,10,14,18,10,"","Athletics|Arcana|Religion|Survival","","Burning Hands*1|Cure Wounds*1|Flaming Sphere*2|Scorching Ray*2|Plant Growth*3|Revivify*3|Aura of Life*4|Fire Shield*4|Flamestrike*5|Mass Cure Wounds*5","Wis","","Canada","CA","",NA,NA,"Firbolg","Burning Hands*1|Cure Wounds*1|Flaming Sphere*2|Scorching Ray*2|Plant Growth*3|Revivify*3|Aura of Life*4|Fire Shield*4|Flame Strike*5|Mass Cure Wounds*5","","amazing_black","Druid","Circle of Wildfire",2,1,0,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,4
"626af7c","98ec825","3432bf6453c8e609c7575456a575894f","479cd705","Water Genasi 27 Ans","Acolyte",2022-04-17 14:19:42,"Cleric 10","Cleric","Forge Domain",10,"",82,19,15,10,16,12,18,8,"","Religion|Insight|Medicine|Persuasion","Mace|Crossbow, light|Spear","Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5","Wis","",NA,NA,"",NA,NA,"Genasi","Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5","Mace|Crossbow, Light|Spear","sharp_sinoussi","Cleric","Forge Domain",2,0,3,1,4,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,4
"20516c5","19bb241","3edfe9173dc2ace8ee8b7a8cc32d5a06","f62b19b0","Half-Elf","Noble",2022-04-12 12:51:26,"Sorcerer 10","Sorcerer","Shadow Magic",10,"Elemental Adept|Tough",110,13,13,17,17,14,16,20,"Chaotic Neutral","Acrobatics|Arcana|History|Investigation|Insight|Perception|Deception|Persuasion","Dagger|Dagger|Runic Blade Of Algar","Chill Touch*0|Message*0|Mage Hand*0|Firebolt*0|Green Flame Blade*0|Minor Illusion*0|Chaos Bolt*1|Chromatic Orb*1|Aganazzar's Scorcher*2|Shatter*2|Counterspell*3|Fireball*3|Lightning Bolt*3|Dimension Door*4|Greater Invisibility*4|Bigby's Hand*5|Immolation*5","Cha","metamagic/Transmuted Spell*Heightened Spell",NA,NA,"CN",NA,NA,"Half-Elf","Chill Touch*0|Message*0|Mage Hand*0|Fire Bolt*0|Green-Flame Blade*0|Minor Illusion*0|Chaos Bolt*1|Chromatic Orb*1|Aganazzar's Scorcher*2|Shatter*2|Counterspell*3|Fireball*3|Lightning Bolt*3|Dimension Door*4|Greater Invisibility*4|Bigby's Hand*5|Immolation*5","Dagger|Dagger|","magical_hellman","Sorcerer","Shadow Magic",1,3,3,2,3,5,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,2,2,0,8
"8681b5d","2c4b02c","8b70151815785bc4d16ee7b7179506f3","5856ff42","Chromatic","Investigator",2022-03-28 17:37:40,"Rogue 10","Rogue","Inquisitive",10,"Actor|Dragon Hide",93,15,10,18,18,11,16,16,"","Sleight of Hand|Investigation|Insight|Perception|Performance|Persuasion","Rapier|Shortbow|Dagger","","Int","expertise/Sleight of Hand*Persuasion*Perception*Insight",NA,NA,"",NA,NA,"Dragonborn","","Rapier|Shortbow|Dagger","zealous_banzai","Rogue","Inquisitive",0,4,4,0,3,3,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,2,2,0,6
"815a4e5","67aaa59","f6c1d84db5cb313f7de70f7ad3fbf196","01454528","Human","Folk Hero",2022-03-13 19:00:40,"Ranger 10","Ranger","Horizon Walker",10,"Elemental Adept",84,13,16,15,14,13,11,9,"","Nature|Animal Handling|Insight|Perception|Survival","Shortsword|Longbow","Speak with Animals*1|Protection from Evil and Good*1|Beast Sense*2|Misty Step*2|Speak with Plants*3|Haste*3","Wis","optional hide in plain sight/Primal Awareness|fighting style/Archery|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer|optional primeval awareness/Primal Awareness","Canada","CA","",NA,NA,"Human","Speak with Animals*1|Protection from Evil and Good*1|Beast Sense*2|Misty Step*2|Speak with Plants*3|Haste*3","Shortsword|Longbow","friendly_austin","Ranger","Horizon Walker",3,2,2,1,0,-1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,0,0,5
"001c09f","8564f26","bf04a6ff91bbf8c8cddcc332dab93685","b330c0c1","Protector Aasimar","Cloistered Scholar",2022-03-04 23:55:37,"Cleric 10","Cleric","War Domain",10,"",78,18,18,10,14,13,20,16,"","History|Religion|Insight|Medicine","Mace|Crossbow, light","Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5","Wis","","United States","US","",NA,NA,"Aasimar","Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5","Mace|Crossbow, Light","unruffled_chaum","Cleric","War Domain",4,0,2,1,5,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,4
"156eb2f","e1496e0","da6093e160cfe7dc8318c948c4a9dfce","b5d556c0","Ghastly Halfling","Criminal",2022-02-25 10:51:18,"Rogue 10","Rogue","Assassin",10,"",81,16,13,20,16,18,10,14,"","Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception","Rapier|Shortbow|Dagger","","Int","expertise/Stealth*Investigation*Deception",NA,NA,"",NA,NA,"Halfling","","Rapier|Shortbow|Dagger","hopeful_cray","Rogue","Assassin",1,5,3,4,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,1,1,1,0,6
"0d3452f","6bbc3d0","4974751c45617d6772c03a25f3ac3819","ecadf69a","Hill Dwarf","Criminal",2022-02-25 01:13:36,"Cleric 10","Cleric","Trickery Domain",10,"Medium Armor Master|Squat Nimbleness",77,13,14,11,14,11,16,10,"","Acrobatics|Stealth|Religion|Medicine|Deception","Warhammer|Dagger","Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2|Blink*3|Dispel Magic*3|Dimension Door*4|Polymorph*4|Dominate Person*5|Modify Memory*5","Wis","","Brazil","BR","",NA,NA,"Dwarf","Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2|Blink*3|Dispel Magic*3|Dimension Door*4|Polymorph*4|Dominate Person*5|Modify Memory*5","Warhammer|Dagger","agitated_mayer","Cleric","Trickery Domain",2,0,2,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,1,1,0,5
"3dc67e8","c20e24c","ef79049142491f1f8e16e491f7b52c10","7c9cab8d","Variant","House Agent",2022-01-22 12:52:57,"Rogue 10","Rogue","Inquisitive",10,"Prodigy",70,12,12,14,9,20,16,16,"","Investigation|Insight|Perception|Deception|Intimidation|Persuasion","Rapier|Shortsword|Dagger","","Int","expertise/Perception*Investigation*Persuasion*Deception*Insight",NA,NA,"",NA,NA,"Half-Elf","","Rapier|Shortsword|Dagger","vigilant_feynman","Rogue","Inquisitive",1,2,-1,5,3,3,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3,0,6
"fcd7232","154528a","cadf60c52d0c16683916e4e9ce01236b","6cffb338","Human","Folk Hero",2022-01-13 13:04:41,"Fighter 10","Fighter","Purple Dragon Knight",10,"Sentinel|Mage Slayer|Shield Master|Heavy Armor Master",120,18,17,12,14,8,14,10,"","History|Animal Handling|Insight|Perception|Survival|Persuasion","Longsword|Crossbow, light","","Int","fighting style/Protection",NA,NA,"",NA,NA,"Human","","Longsword|Crossbow, Light","modest_meninsky","Fighter","Purple Dragon Knight",3,1,2,-1,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,1,0,6
"779053e","5cba403","fb4f3b98a559fe00b8e4b03ba0e986fb","c43b85bd","Warforged","Soldier",2021-12-30 07:04:43,"Fighter 10","Fighter","Echo Knight",10,"Resilient",94,12,20,12,17,10,13,8,"","Athletics|Intimidation","Longsword","","Int","fighting style/Dueling","Italy","IT","",NA,NA,"Warforged","","Longsword","eloquent_lamport","Fighter","Echo Knight",5,1,3,0,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"6178b15","3104f20","296eb4571afde79d75d1538df5b0369d","231a37b8","Fire Genasi","Sage",2021-12-29 11:39:08,"Warlock 10","Warlock","The Hexblade",10,"Lightly Armored",82,14,10,16,15,13,8,16,"","Arcana|History|Investigation|Intimidation","Sickle|Sickle|Dagger","","Cha","pact boon/Pact of the Blade*Pact of the Blade*Pact of the Blade|eldritch invocations/Eyes of the Rune Keeper*Repelling Blast*Eldritch Spear*One with Shadows*Relentless Hex","United Kingdom","GB","",NA,NA,"Genasi","","Sickle|Sickle|Dagger","heuristic_mcclintock","Warlock","The Hexblade",0,3,2,1,-1,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4
"6178b15","ac12e1e","a600c272cb85110d19bccda5ccdd57b7","7ebff1d2","Human","Sage",2021-12-28 18:46:21,"Sorcerer 10","Sorcerer","Aberrant Mind",10,"Telekinetic|Telepathic",74,11,8,12,15,14,10,19,"","Arcana|History|Insight|Deception|Persuasion","Quarterstaff|Dagger","Mind Sliver*0|Arms of Hatred*1|Dissonent Whispers*1|Calm Emotions*2|Detect Thoughts*2|Hunger of Hatred*3|Sending*3|Black Tentacles*4|Summon Aberration*4|Telepathic Bond*5|Telekinesis*5","Cha","metamagic/Twinned Spell*Empowered Spell*Subtle Spell","United Kingdom","GB","",NA,NA,"Human","*|Arms of Hadar*1|Dissonant Whispers*1|Calm Emotions*2|Detect Thoughts*2|Hunger of Hadar*3|Sending*3|Evard's Black Tentacles*4|*|Rary's Telepathic Bond*5|Telekinesis*5","Quarterstaff|Dagger","stupefied_newton","Sorcerer","Aberrant Mind",-1,1,2,2,0,4,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,5
"dffcef9","5cba403","f63a60e8553782902d50dec3da99e951","7d2c2288","Goblin","Hermit",2021-12-28 17:28:47,"Druid 10","Druid","Circle of Spores",10,"Shadow Touched",100,14,10,15,15,12,18,8,"","Religion|Medicine","Scimitar","Chill Touch*0|Blindness/Deafness*2|Gentle Repose*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5","Wis","","Italy","IT","",NA,NA,"Goblin","Chill Touch*0|Blindness/Deafness*2|Gentle Repose*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5","Scimitar","confident_bhabha","Druid","Circle of Spores",0,2,2,1,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
"","68869dc","c34cb37b5daa5966697e93d2a41a7aa5","cb8bf2ae","Shadow Elf","Haunted One",2021-12-19 15:00:16,"Warlock 10","Warlock","The Celestial",10,"",83,13,8,14,16,10,12,19,"","Arcana|Investigation|Religion|Perception|Deception","Sickle|Spear|Dagger","Light*0|Sacred Flame*0","Cha","pact boon/Pact of the Talisman*Pact of the Talisman|eldritch invocations/Armor of Shadows*Devil's Sight*Eldritch Sight*Eyes of the Rune Keeper*One with Shadows","Canada","CA","",NA,NA,"Elf","Light*0|Sacred Flame*0","Sickle|Spear|Dagger","boring_gauss","Warlock","The Celestial",-1,2,3,0,1,4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,5
"","68869dc","cc9781e9207fde86283432fc2da5dcf4","60567b88","High Elf","Entertainer",2021-12-19 14:07:07,"Sorcerer 10","Sorcerer","Aberrant Mind",10,"",62,13,8,16,14,12,10,20,"","Acrobatics|Arcana|Perception|Intimidation|Performance","Dagger|Dagger","Mind Sliver*0|11 Spells Known*0|Arms of Hatred*1|Dissonent Whispers*1|Calm Emotions*2|Detect Thoughts*2|Hunger of Hatred*3|Sending*3|Black Tentacles*4|Summon Aberration*4|Telepathic Bond*5|Telekinesis*5","Cha","metamagic/Twinned Spell*Transmuted Spell*Careful Spell","Canada","CA","",NA,NA,"Elf","*|*|Arms of Hadar*1|Dissonant Whispers*1|Calm Emotions*2|Detect Thoughts*2|Hunger of Hadar*3|Sending*3|Evard's Black Tentacles*4|*|Rary's Telepathic Bond*5|Telekinesis*5","Dagger|Dagger","pensive_darwin","Sorcerer","Aberrant Mind",-1,3,2,1,0,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,0,5
"519e6ca","872afc7","2b1f17ad4d09a22b5e99e4d12a6e9634","f507641c","Bugbear","Entertainer",2021-12-04 16:56:17,"Fighter 10","Fighter","Battle Master",10,"Grappler|Athlete",106,11,15,12,12,10,10,11,"","Athletics|Acrobatics|Stealth|Intimidation|Performance","Battleaxe|Battleaxe|Handaxe","","Int","combat superiority maneuvers/Grappling Strike*Riposte*Disarming Attack*Parry*Menacing Attack*Brace*Lunging Attack|fighting style/Unarmed Fighting","United States","US","",NA,NA,"Bugbear","","Battleaxe|Battleaxe|Handaxe","inspiring_moser","Fighter","Battle Master",2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,2,0,5
"ac87645","b15d54a","9a46c93f7c1d809a76d950731402a618","c5a9e848","Detection","Violent Assassin",2021-11-15 19:13:54,"Ranger 10","Ranger","Gloom Stalker",10,"Sharpshooter",94,15,12,16,12,12,16,12,"","Stealth|Nature|Insight|Perception|Deception","Shortsword|Longbow","Disguise Self*1|Rope Trick*2|Fear*3","Wis","optional hide in plain sight/Primal Awareness|fighting style/Defense|optional favored enemy/Favored Foe|expertise/Stealth|optional natural explorer/Canny|optional primeval awareness/Primeval Awareness","United States","US","",NA,NA,"Half-Elf","Disguise Self*1|Rope Trick*2|Fear*3","Shortsword|Longbow","dreamy_mclaren","Ranger","Gloom Stalker",1,3,1,1,3,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2,1,0,5
"ac87645","b15d54a","df17c8d34924f6f61000aa0846a8833a","a65d19c0","Human","Criminal",2021-11-15 18:54:44,"Cleric 10","Cleric","Death Domain",10,"War Caster",88,18,16,16,14,12,20,12,"","Stealth|Arcana|Insight|Deception|Persuasion","Mace|Crossbow, light","False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5","Wis","","United States","US","",NA,NA,"Human","False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5","Mace|Crossbow, Light","friendly_antonelli","Cleric","Death Domain",3,3,2,1,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,5
"ac87645","b15d54a","532eb33d52bc7727c4002dcbf2bb189a","58d0576c","Goliath","Smuggler",2021-11-15 18:49:35,"Barbarian 10","Barbarian","Path of the Beast",10,"",140,16,20,14,18,15,15,15,"","Athletics|Nature|Animal Handling|Perception|Deception|Intimidation","Greataxe|Handaxe|Javelin","","Int","","United States","US","",NA,NA,"Goliath","","Greataxe|Handaxe|Javelin","sharp_curie","Barbarian","Path of the Beast",5,2,4,2,2,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,0,6
"519e6ca","836a157","7aa63d0c2f9ebfd01a8791f7d7f35842","ff9d5704","Hexed Lineage","Custom",2021-09-28 11:01:00,"Sorcerer 10","Sorcerer","Storm Sorcery",10,"Spell Sniper|War Caster",60,12,8,15,11,15,15,11,"","Arcana|Investigation|Religion|Insight|Deception|Persuasion","Quarterstaff|Dagger","","Cha","metamagic/Twinned Spell*Quickened Spell*Seeking Spell","United States","US","",NA,NA,"Tiefling","","Quarterstaff|Dagger","relaxed_shtern","Sorcerer","Storm Sorcery",-1,2,0,2,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,1,2,0,6
"0f9cff6","d4ae7e0","46684eab4a914095b2d65d3227032726","4584d9d6","Tabaxi","Soldier",2021-09-27 11:32:55,"Fighter 10","Fighter","Champion",10,"",84,13,20,16,14,8,10,13,"","Athletics|Stealth|Animal Handling|Perception|Survival|Intimidation","Shortsword|Unarmed Strike","","Int","fighting style/Unarmed Fighting*Blind Fighting","Canada","CA","",NA,NA,"Tabaxi","","Shortsword|Unarmed Strike","naughty_goldberg","Fighter","Champion",5,3,2,-1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,3,1,0,6
"519e6ca","f147f63","a135044f03767a2e4f746401da1282d7","73196474","Passage","Sailor",2021-09-22 11:11:33,"Barbarian 10","Barbarian","Path of the Totem Warrior",10,"Polearm Master|Tavern Brawler",150,15,15,14,16,9,11,11,"","Athletics|Nature|Perception|Intimidation","Gaff|Club|Javelin","","Int","","United States","US","",NA,NA,"Human","","|Club|Javelin","sad_ganguly","Barbarian","Path of the Totem Warrior",2,2,3,-1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,4
"3500504","dbf3952","d6ffcb7281fc45dfda873b8bd069573c","7d014214","Human","Acolyte",2021-09-17 06:05:24,"Cleric 10","Cleric","War Domain",10,"",110,23,18,10,20,16,24,20,"","Arcana|Religion|Insight|Medicine|Perception|Persuasion","Warhammer|Handaxe","Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5","Wis","","Brazil","BR","",NA,NA,"Human","Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5","Warhammer|Handaxe","goofy_lamarr","Cleric","War Domain",4,0,5,3,7,5,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,3,1,0,6
"ac87645","2066d1f","bc93417388c2e5332ff96a91ce4f79de","02cb5450","Variant","Sage",2021-09-15 16:54:07,"Warlock 10","Warlock","The Hexblade",10,"Eldritch Adept",110,14,12,16,16,14,14,20,"","Arcana|History|Investigation|Deception","Dagger|Glaive|Rapier","","Cha","pact boon/Pact of the Blade|eldritch invocations/Grasp of Hadar*Agonizing Blast*Thirsting Blade*Relentless Hex*Eldritch Smite*Improved Pact Weapon","United States","US","",NA,NA,"Half-Elf","","Dagger|Glaive|Rapier","naughty_bose","Warlock","The Hexblade",1,3,3,2,2,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4
